IDENTIFIER	BINCODE	BinName	TrivialName
at2g25370	GMM:27.3.99	RNA.regulation of transcription.unclassified	35.2
at3g01175	GMM:29.2.1.2.2.34	protein.synthesis.ribosomal protein.eukaryotic.60S subunit.L34	35.2
at3g43970	35.2	35.2	35.2
at1g71692	GMM:27.3.24	RNA.regulation of transcription.MADS box transcription factor family	AGL12
at2g13140	GMM:28.1	DNA.synthesis/chromatin structure	35.2
at1g63190	35.2	35.2	35.2
at4g34071	GMM:32	"micro RNA, natural antisense etc"	35.2
at1g30890	35.2	35.2	35.2
at5g05880	GMM:26.2	misc.UDP glucosyl and glucoronyl transferases	35.2
at3g20810	GMM:27.3.57	RNA.regulation of transcription.JUMONJI family	JMJD5
at3g47540	GMM:20.1	stress.biotic	35.2
at3g23910	35.2	35.2	35.2
at1g77480	GMM:29.5.4	protein.degradation.aspartate protease	35.2
at5g04160	GMM:34.8	transport.metabolite transporters at the envelope membrane	35.2
at2g31300	GMM:31.1	cell.organisation	ARPC1B
at5g38393	GMM:29.5.11.4.3.2	protein.degradation.ubiquitin.E3.SCF.FBOX	35.2
at2g05180	GMM:26.10	misc.cytochrome P450	CYP705A6
at5g64730	GMM:30.5	signalling.G-proteins	35.2
at2g32690	GMM:35.1.40	not assigned.no ontology.glycine rich proteins	GRP23
at3g46090	GMM:27.3.11	RNA.regulation of transcription.C2H2 zinc finger family	ZAT7
at3g14410	GMM:34.8	transport.metabolite transporters at the envelope membrane	35.2
at5g62990	35.2	35.2	emb1692
at4g31000	GMM:30.3	signalling.calcium	35.2
at4g03920	GMM:28.1.1.2	DNA.synthesis/chromatin structure.retrotransposon/transposase.non-LTR retrotransposon	35.2
at5g45890	GMM:29.5.3	protein.degradation.cysteine protease	SAG12
at5g22960	GMM:29.5.5	protein.degradation.serine protease	35.2
at5g23330	GMM:18.3	Co-factor and vitamine metabolism.riboflavin	35.2
at5g67360	GMM:29.5.1	protein.degradation.subtilases	ARA12
at1g75250	GMM:27.3.26	RNA.regulation of transcription.MYB-related transcription factor family	RSM3
at1g17670	GMM:29.2.7.1.20	protein.synthesis.transfer RNA.nucleus.tRNA-Val	35.2
at2g22190	GMM:3.2.2	minor CHO metabolism.trehalose.TPP	TPPE
at4g04632	GMM:29.4.1	protein.postranslational modification.kinase	35.2
at3g59960	GMM:27.3.69	RNA.regulation of transcription.SET-domain transcriptional regulator family	ASHH4
at1g66180	GMM:29.5.4	protein.degradation.aspartate protease	35.2
at2g17420	GMM:21.1	redox.thioredoxin	ATNTRA
at2g19670	GMM:26.6	misc.O-methyl transferases	PRMT1A
at5g15390	GMM:27.1	RNA.processing	35.2
at3g23360	GMM:29.4	protein.postranslational modification	35.2
at3g05490	GMM:30.8	signalling.misc	RALFL22
at1g06515	35.2	35.2	35.2
at5g35120	35.2	35.2	35.2
at5g16690	GMM:28.1	DNA.synthesis/chromatin structure	ATORC3
at5g56710	GMM:29.2.1.2.2.31	protein.synthesis.ribosomal protein.eukaryotic.60S subunit.L31	35.2
at1g60360	GMM:29.5.11.4.2	protein.degradation.ubiquitin.E3.RING	35.2
at4g22960	35.2	35.2	35.2
at2g29540	GMM:27.2	RNA.transcription	ATRPAC14
at3g55000	GMM:31.1	cell.organisation	TON1A
at1g05805	GMM:27.3.6	RNA.regulation of transcription.basic helix-loop-helix family (bHLH)	35.2
at5g26240	GMM:34.18	transport.unspecified anions	ATCLC-D
at2g12380	GMM:31.1	cell.organisation	35.2
at2g17330	GMM:17.3.1.2.3	hormone metabolism.brassinosteroid.synthesis-degradation.sterols.CYP51	35.2
at5g22608	35.2	35.2	35.2
at3g18870	GMM:27.3.99	RNA.regulation of transcription.unclassified	35.2
at1g32337	35.2	35.2	35.2
at5g18280	GMM:23.2	nucleotide metabolism.degradation	APY2
at1g24120	GMM:20.2.1	stress.abiotic.heat	ARL1
at3g07000	GMM:35.1.26	not assigned.no ontology.DC1 domain containing protein	35.2
at3g29740	35.2	35.2	35.2
at1g54820	GMM:30.2.18	signalling.receptor kinases.extensin	35.2
at3g25905	GMM:33.99	development.unspecified	CLE27
at3g45940	GMM:26.3.1	"misc.gluco-, galacto- and mannosidases.alpha-galactosidase"	35.2
at1g43070	GMM:28.1.1.1	DNA.synthesis/chromatin structure.retrotransposon/transposase.gypsy-like retrotransposon	35.2
at2g34185	35.2	35.2	35.2
at5g12890	GMM:26.2	misc.UDP glucosyl and glucoronyl transferases	35.2
at3g28321	35.2	35.2	35.2
at3g27050	35.2	35.2	35.2
at1g09420	GMM:7.1.1	OPP.oxidative PP.glucose-6-phosphate 1-dehydrogenase (G6PD)	G6PD4
at5g19830	35.2	35.2	35.2
at1g21920	GMM:30.4.1	signalling.phosphinositides.phosphatidylinositol-4-phosphate 5-kinase	35.2
at1g06800	GMM:11.9.2.1	lipid metabolism.lipid degradation.lipases.triacylglycerol lipase	PLA-I{gamma}1
at3g23171	35.2	35.2	35.2
at2g16170	35.2	35.2	35.2
at5g65340	35.2	35.2	35.2
at1g20640	GMM:33.99	development.unspecified	35.2
at3g02300	GMM:31.2	cell.division	35.2
at1g27110	35.2	35.2	35.2
at1g31510	GMM:29.5.11.4.3.2	protein.degradation.ubiquitin.E3.SCF.FBOX	35.2
at3g11380	GMM:35.1.5	not assigned.no ontology.pentatricopeptide (PPR) repeat-containing protein	35.2
at2g05280	GMM:28.1.1.2	DNA.synthesis/chromatin structure.retrotransposon/transposase.non-LTR retrotransposon	35.2
at2g12325	GMM:28.1.1.3	DNA.synthesis/chromatin structure.retrotransposon/transposase.copia-like retrotransposon	35.2
at2g28590	GMM:29.4.1.57	protein.postranslational modification.kinase.receptor like cytoplasmatic kinase VII	35.2
at5g48940	GMM:30.2.11	signalling.receptor kinases.leucine rich repeat XI	35.2
at5g20840	GMM:30.4	signalling.phosphinositides	35.2
at2g37140	GMM:16.1.5	secondary metabolism.isoprenoids.terpenoids	35.2
at1g09060	GMM:29.5.11.4.2	protein.degradation.ubiquitin.E3.RING	35.2
at4g08180	GMM:31.4	cell.vesicle transport	ORP1C
at2g39865	35.2	35.2	35.2
at4g15090	GMM:30.11	signalling.light	FAR1
at4g07937	GMM:28.1.1.1	DNA.synthesis/chromatin structure.retrotransposon/transposase.gypsy-like retrotransposon	35.2
at2g21310	GMM:28.1	DNA.synthesis/chromatin structure	35.2
at5g11390	35.2	35.2	WIT1
at1g74010	GMM:16.4.1	secondary metabolism.N misc.alkaloid-like	35.2
at4g07915	GMM:28.1.1.2	DNA.synthesis/chromatin structure.retrotransposon/transposase.non-LTR retrotransposon	35.2
at5g33125	GMM:28.1.1.1	DNA.synthesis/chromatin structure.retrotransposon/transposase.gypsy-like retrotransposon	35.2
at2g33320	GMM:27.1	RNA.processing	35.2
at2g34585	35.2	35.2	35.2
at2g31770	GMM:29.5.11.4.2	protein.degradation.ubiquitin.E3.RING	ARI9
at3g55677	35.2	35.2	35.2
at5g52975	35.2	35.2	35.2
at3g49845	GMM:35.1.42	not assigned.no ontology.proline rich family	35.2
at3g24612	GMM:29.2.2.3.2	protein.synthesis.ribosome biogenesis.pre-rRNA processing and modifications.snoRNAs	35.2
at4g32530	GMM:34.1.1.2	transport.p- and v-ATPases.H+-transporting two-sector ATPase.subunit C	35.2
at4g31930	35.2	35.2	35.2
at2g45380	35.2	35.2	35.2
atmg01260	35.2	35.2	ORF205
at1g80270	GMM:27.3.67	RNA.regulation of transcription.putative transcription regulator	PPR596
at1g71040	GMM:26.7;GMM:20.2.3	"misc.oxidases - copper, flavone etc;stress.abiotic.drought/salt"	LPR2
at1g73470	35.2	35.2	35.2
at5g12870	GMM:27.3.25	RNA.regulation of transcription.MYB domain transcription factor family	ATMYB46
at2g04050	GMM:34.99	transport.misc	35.2
at5g54569	GMM:32	"micro RNA, natural antisense etc"	35.2
at1g49650	GMM:11.9.3.2	lipid metabolism.lipid degradation.lysophospholipases.carboxylesterase	35.2
at3g13445	GMM:27.2	RNA.transcription	TBP1
at5g19473	35.2	35.2	35.2
at2g41616	GMM:32	"micro RNA, natural antisense etc"	35.2
at5g34970	35.2	35.2	35.2
at2g02110	GMM:28.1.1.2	DNA.synthesis/chromatin structure.retrotransposon/transposase.non-LTR retrotransposon	35.2
at1g78970	GMM:16.1.5	secondary metabolism.isoprenoids.terpenoids	LUP1
at1g31200	35.2	35.2	PP2-A9
at3g55180	GMM:11.9.2	lipid metabolism.lipid degradation.lipases	35.2
at2g20700	35.2	35.2	LLG2
at4g25900	GMM:3.5	minor CHO metabolism.others	35.2
at2g11504	35.2	35.2	35.2
at2g30230	35.2	35.2	35.2
at4g13780	GMM:29.1.10	protein.aa activation.methionine-tRNA ligase	35.2
at1g34860	35.2	35.2	35.2
at1g80090	35.2	35.2	35.2
at3g59110	GMM:29.4.1.55	protein.postranslational modification.kinase.receptor like cytoplasmatic kinase V	35.2
at1g29910	GMM:1.1.1.1	PS.lightreaction.photosystem II.LHC-II	LHCB1.2
at4g09205	GMM:28.1.1.3	DNA.synthesis/chromatin structure.retrotransposon/transposase.copia-like retrotransposon	35.2
at1g16840	35.2	35.2	35.2
at4g37930	GMM:25.1	C1-metabolism.glycine hydroxymethyltransferase	STM
at5g28360	GMM:17.5.1.1	hormone metabolism.ethylene.synthesis-degradation.1-aminocyclopropane-1-carboxylate synthase	35.2
at3g53690	GMM:29.5.11.4.2	protein.degradation.ubiquitin.E3.RING	35.2
at1g24390	35.2	35.2	35.2
at5g20250	GMM:3.1.2.2	minor CHO metabolism.raffinose family.raffinose synthases.putative	DIN10
at1g57280	GMM:29.2.7.1.19	protein.synthesis.transfer RNA.nucleus.tRNA-Tyr	35.2
at1g24625	GMM:27.3.11	RNA.regulation of transcription.C2H2 zinc finger family	ZFP7
at5g49020	GMM:26.6	misc.O-methyl transferases	ATPRMT4A
at3g58320	35.2	35.2	35.2
at1g24030	GMM:29.4.1.57	protein.postranslational modification.kinase.receptor like cytoplasmatic kinase VII	35.2
at4g18220	GMM:34.10	transport.nucleotides	35.2
at2g13706	GMM:29.5.11.4.2	protein.degradation.ubiquitin.E3.RING	35.2
at3g15110	35.2	35.2	35.2
at3g32917	GMM:28.1.1.1	DNA.synthesis/chromatin structure.retrotransposon/transposase.gypsy-like retrotransposon	35.2
at5g12070	35.2	35.2	35.2
at1g60580	GMM:29.2.7.1.8	protein.synthesis.transfer RNA.nucleus.tRNA-Gly	35.2
at3g02160	35.2	35.2	35.2
at4g38400	GMM:10.7	cell wall.modification	ATEXPL2
at1g50691	35.2	35.2	35.2
atmg00230	GMM:29.2.7.3.16	protein.synthesis.transfer RNA.mitochondrion.tRNA-Ser	35.2
at1g67170	35.2	35.2	35.2
at3g04070	GMM:27.3.27;GMM:33.99	RNA.regulation of transcription.NAC domain transcription factor family;development.unspecified	NAC047
at5g09680	GMM:21.2	redox.ascorbate and glutathione	RLF
at4g04490	GMM:30.2.17	signalling.receptor kinases.DUF 26	CRK36
at1g23600	35.2	35.2	35.2
at5g22330	GMM:33.99	development.unspecified	RIN1
at1g72520	GMM:17.7.1.2	hormone metabolism.jasmonate.synthesis-degradation.lipoxygenase	LOX4
at4g02060	GMM:28.1	DNA.synthesis/chromatin structure	MCM7
at4g23160	GMM:30.2.17	signalling.receptor kinases.DUF 26	CRK8
at4g35710	35.2	35.2	35.2
at5g41720	GMM:29.5.11.4.3.2	protein.degradation.ubiquitin.E3.SCF.FBOX	35.2
at3g01640	GMM:10.1.30.3	cell wall.precursor synthesis.sugar kinases.glucuronic acid kinase	GLCAK
at3g20410	GMM:30.3	signalling.calcium	CPK9
at3g28918	35.2	35.2	35.2
at3g14475	GMM:29.2.2.3.2	protein.synthesis.ribosome biogenesis.pre-rRNA processing and modifications.snoRNAs	35.2
at4g29840	GMM:13.1.3.2.1	amino acid metabolism.synthesis.aspartate family.threonine.threonine synthase	TS
at5g44417	35.2	35.2	35.2
at3g25460	GMM:29.5.11.4.3.2	protein.degradation.ubiquitin.E3.SCF.FBOX	35.2
at2g14960	GMM:17.2.3	hormone metabolism.auxin.induced-regulated-responsive-activated	GH3.1
at1g12340	35.2	35.2	35.2
at2g23200	GMM:30.2.16	signalling.receptor kinases.Catharanthus roseus-like RLK1	35.2
at2g19740	GMM:29.2.1.2.2.31	protein.synthesis.ribosomal protein.eukaryotic.60S subunit.L31	35.2
at3g18235	35.2	35.2	35.2
at3g50180	35.2	35.2	35.2
at2g31210	GMM:27.3.6	RNA.regulation of transcription.basic helix-loop-helix family (bHLH)	35.2
at2g23340	GMM:27.3.3	"RNA.regulation of transcription.AP2/EREBP, APETALA2/ethylene-responsive element binding protein family"	DEAR3
at4g04105	GMM:28.1.1.3	DNA.synthesis/chromatin structure.retrotransposon/transposase.copia-like retrotransposon	35.2
at4g19230	GMM:17.1.1.2.1	hormone metabolism.abscisic acid.synthesis-degradation.degradation.8-hydroxylase	CYP707A1
at3g45190	GMM:26.13	misc.acid and other phosphatases	35.2
at3g53740	GMM:29.2.1.2.2.36	protein.synthesis.ribosomal protein.eukaryotic.60S subunit.L36	35.2
at1g53140	GMM:26.17	misc.dynamin	DRP5A
at2g20000	GMM:31.2	cell.division	HBT
at4g00240	GMM:11.9.3.1	lipid metabolism.lipid degradation.lysophospholipases.phospholipase D	PLDBETA2
at1g63110	GMM:31.2	cell.division	35.2
at5g17390	GMM:20.2.99	stress.abiotic.unspecified	35.2
at3g23685	GMM:29.5.11.4.3.2	protein.degradation.ubiquitin.E3.SCF.FBOX	35.2
at1g15220	GMM:9.6	mitochondrial electron transport / ATP synthesis.cytochrome c	CCMH
at2g05710	GMM:8.1.3	TCA / organic transformation.TCA.aconitase	ACO3
at2g45090	GMM:30.2.99	signalling.receptor kinases.misc	35.2
at3g57380	35.2	35.2	35.2
at4g39730	35.2	35.2	35.2
at1g07740	GMM:35.1.5	not assigned.no ontology.pentatricopeptide (PPR) repeat-containing protein	35.2
at1g35210	35.2	35.2	35.2
at3g24330	GMM:26.4.1	"misc.beta 1,3 glucan hydrolases.glucan endo-1,3-beta-glucosidase"	35.2
at1g69295	GMM:26.4	"misc.beta 1,3 glucan hydrolases"	PDCB4
at5g30460	35.2	35.2	35.2
at5g15030	GMM:35.1.25	not assigned.no ontology.paired amphipathic helix repeat-containing protein	35.2
at5g41494	GMM:29.5.11.4.3.2	protein.degradation.ubiquitin.E3.SCF.FBOX	35.2
at1g32970	GMM:29.5.1	protein.degradation.subtilases	35.2
at2g02160	GMM:27.3.99	RNA.regulation of transcription.unclassified	35.2
at2g03090	GMM:10.7	cell wall.modification	EXPA15
at1g73080	GMM:30.2.11	signalling.receptor kinases.leucine rich repeat XI	ATPEPR1
at3g11440	GMM:27.3.25	RNA.regulation of transcription.MYB domain transcription factor family	MYB65
at2g04410	35.2	35.2	35.2
at5g49600	35.2	35.2	35.2
at5g41510	GMM:29.5.11.4.3.2	protein.degradation.ubiquitin.E3.SCF.FBOX	35.2
at1g10100	35.2	35.2	35.2
at4g07519	35.2	35.2	35.2
at3g52680	GMM:29.5.11.4.3.2	protein.degradation.ubiquitin.E3.SCF.FBOX	35.2
at4g15200	GMM:35.1.20	not assigned.no ontology.formin homology 2 domain-containing protein	AFH3
at4g14145	35.2	35.2	35.2
at5g13450	GMM:9.9	mitochondrial electron transport / ATP synthesis.F1-ATPase	ATP5
at1g17470	GMM:34.5	transport.ammonium	ATDRG1
at2g34620	GMM:27.3.99	RNA.regulation of transcription.unclassified	35.2
at4g32820	35.2	35.2	35.2
at4g29230	GMM:33.99	development.unspecified	NAC075
at5g49550	35.2	35.2	BLOS2
at3g49650	GMM:31.1	cell.organisation	35.2
at1g33030	GMM:16.10	secondary metabolism.simple phenols	35.2
at5g58465	GMM:32	"micro RNA, natural antisense etc"	35.2
at1g24420	35.2	35.2	35.2
at1g20290	35.2	35.2	35.2
at5g12365	35.2	35.2	35.2
at5g38390	GMM:29.5.11.4.3.2	protein.degradation.ubiquitin.E3.SCF.FBOX	35.2
at3g18650	GMM:27.3.24	RNA.regulation of transcription.MADS box transcription factor family	AGL103
at1g77320	GMM:31.3;GMM:28.2	cell.cycle;DNA.repair	MEI1
at1g80040	35.2	35.2	35.2
at2g27150	GMM:17.1.1.1.12	hormone metabolism.abscisic acid.synthesis-degradation.synthesis.abscisic aldehyde oxidase	AOdelta
at5g32595	GMM:28.1.1.1	DNA.synthesis/chromatin structure.retrotransposon/transposase.gypsy-like retrotransposon	35.2
at1g60150	GMM:28.1	DNA.synthesis/chromatin structure	35.2
at1g66290	GMM:29.5.11.4.3.2	protein.degradation.ubiquitin.E3.SCF.FBOX	35.2
at5g03830	35.2	35.2	35.2
at4g08485	GMM:20.1.7.12	stress.biotic.PR-proteins.PR12 (plant defensins)	35.2
at2g07748	GMM:29.2.7.1.18	protein.synthesis.transfer RNA.nucleus.tRNA-Trp	35.2
at1g42710	35.2	35.2	35.2
at3g32910	35.2	35.2	35.2
at4g05220	35.2	35.2	35.2
at1g01920	GMM:35.1.13	not assigned.no ontology.SET domain-containing protein	35.2
at1g73630	GMM:30.3	signalling.calcium	35.2
at2g22030	GMM:29.5.11.4.3.2	protein.degradation.ubiquitin.E3.SCF.FBOX	35.2
at5g15770	GMM:26.24	misc.GCN5-related N-acetyltransferase	GNA1
at3g25420	GMM:29.5.5	protein.degradation.serine protease	scpl21
at3g57072	35.2	35.2	35.2
at2g22270	35.2	35.2	35.2
at3g13280	35.2	35.2	35.2
at5g39365	GMM:20.1.7.12	stress.biotic.PR-proteins.PR12 (plant defensins)	35.2
at4g34360	GMM:29.5	protein.degradation	35.2
at3g51530	GMM:29.5.11.4.3.2	protein.degradation.ubiquitin.E3.SCF.FBOX	35.2
at2g06990	GMM:29.2.2.3.5	protein.synthesis.ribosome biogenesis.pre-rRNA processing and modifications.DExD-box helicases	HEN2
at2g35615	GMM:29.5.4	protein.degradation.aspartate protease	35.2
at3g61520	GMM:35.1.5	not assigned.no ontology.pentatricopeptide (PPR) repeat-containing protein	35.2
at4g18375	GMM:27.4	RNA.RNA binding	35.2
at2g10390	35.2	35.2	35.2
at1g64930	GMM:26.10	misc.cytochrome P450	CYP89A7
at4g12135	GMM:28.1.1.3	DNA.synthesis/chromatin structure.retrotransposon/transposase.copia-like retrotransposon	35.2
at1g43205	35.2	35.2	35.2
at5g51120	GMM:27.1.3.17	RNA.processing.3' end processing.PabN	ATPABN1
at3g44930	GMM:34.12	transport.metal	ATCHX10
at5g40690	35.2	35.2	35.2
at1g69600	GMM:27.3.80	RNA.regulation of transcription.zf-HD	ZFHD1
at5g60978	35.2	35.2	35.2
at2g13665	GMM:32	"micro RNA, natural antisense etc"	35.2
at1g28590	GMM:26.28	misc.GDSL-motif lipase	35.2
at3g06300	GMM:26.7	"misc.oxidases - copper, flavone etc"	AT-P4H-2
at2g38100	GMM:34.13	transport.peptides and oligopeptides	35.2
at1g74280	35.2	35.2	35.2
at4g37095	35.2	35.2	35.2
at5g28527	35.2	35.2	35.2
at2g45960	GMM:34.19.1	transport.major intrinsic proteins.PIP	PIP1B
at5g13740	GMM:34.2	transport.sugars	ZIF1
at4g22212	GMM:20.1.7.12	stress.biotic.PR-proteins.PR12 (plant defensins)	35.2
at5g04500	GMM:26.2	misc.UDP glucosyl and glucoronyl transferases	35.2
at2g13720	GMM:28.99	DNA.unspecified	35.2
at2g43440	GMM:29.5.11.4.3.2	protein.degradation.ubiquitin.E3.SCF.FBOX	35.2
at2g22060	35.2	35.2	35.2
at3g30833	GMM:28.1.1.1	DNA.synthesis/chromatin structure.retrotransposon/transposase.gypsy-like retrotransposon	35.2
at2g30440	GMM:29.3.3	protein.targeting.chloroplast	TPP
at5g66658	35.2	35.2	35.2
at1g73130	35.2	35.2	35.2
at3g52525	GMM:33.99	development.unspecified	ATOFP6
at1g20795	GMM:29.5.11.4.3.2	protein.degradation.ubiquitin.E3.SCF.FBOX	35.2
at4g09720	GMM:30.5	signalling.G-proteins	ATRABG3A
at2g05475	35.2	35.2	35.2
at3g57140	GMM:33.1	development.storage proteins	SDP1-LIKE
at2g36570	GMM:30.2.3	signalling.receptor kinases.leucine rich repeat III	35.2
at4g37710	35.2	35.2	35.2
at5g61640	GMM:29.4	protein.postranslational modification	PMSR1
at2g44590	GMM:26.17	misc.dynamin	DL1D
at1g01050	GMM:23.4.99	nucleotide metabolism.phosphotransfer and pyrophosphatases.misc	PPa1
at1g74330	GMM:29.4	protein.postranslational modification	35.2
at3g33197	GMM:28.1.1.1	DNA.synthesis/chromatin structure.retrotransposon/transposase.gypsy-like retrotransposon	35.2
at5g11570	GMM:34.13	transport.peptides and oligopeptides	35.2
at4g17770	GMM:3.2.3	minor CHO metabolism.trehalose.potential TPS/TPP	TPS5
at4g28162	GMM:32	"micro RNA, natural antisense etc"	35.2
at5g66650	35.2	35.2	35.2
at3g22900	GMM:27.2	RNA.transcription	NRPD7
at1g66940	GMM:29.4	protein.postranslational modification	35.2
at4g35733	GMM:29.5.11.4.3.2	protein.degradation.ubiquitin.E3.SCF.FBOX	35.2
at4g15920	GMM:33.99	development.unspecified	SWEET17
at4g06533	35.2	35.2	35.2
at3g50620	35.2	35.2	35.2
at1g12460	GMM:30.2.7	signalling.receptor kinases.leucine rich repeat VII	35.2
at2g12150	GMM:28.99	DNA.unspecified	35.2
at2g02720	GMM:10.6.3	cell wall.degradation.pectate lyases and polygalacturonases	35.2
at2g15880	GMM:10.5.3	cell wall.cell wall proteins.LRR	35.2
at3g44117	35.2	35.2	35.2
at3g26690	GMM:23.3.3	nucleotide metabolism.salvage.NUDIX hydrolases	NUDX13
at1g26760	GMM:27.3.69	RNA.regulation of transcription.SET-domain transcriptional regulator family	ATXR1
at4g06642	35.2	35.2	35.2
at1g70220	35.2	35.2	35.2
at1g28040	GMM:29.5.11.4.2	protein.degradation.ubiquitin.E3.RING	35.2
at2g37678	GMM:30.10;GMM:33.99	signalling.phosphorelay;development.unspecified	PAT3
at5g02710	35.2	35.2	35.2
at3g25800	GMM:29.4	protein.postranslational modification	PDF1
at3g20490	35.2	35.2	35.2
at3g07700	GMM:35.1.1	not assigned.no ontology.ABC1 family protein	35.2
at4g19320	35.2	35.2	35.2
at5g52545	35.2	35.2	35.2
at5g54375	GMM:29.2.7.1.14	protein.synthesis.transfer RNA.nucleus.tRNA-Phe	35.2
at2g35580	GMM:29.5.5	protein.degradation.serine protease	35.2
at4g17510	GMM:29.5	protein.degradation	UCH3
at5g65580	35.2	35.2	35.2
at3g03990	35.2	35.2	35.2
at5g48300	GMM:2.1.2.1	major CHO metabolism.synthesis.starch.AGPase	ADG1
at1g26740	GMM:29.2.1.1.3.2.32	protein.synthesis.ribosomal protein.prokaryotic.unknown organellar.50S subunit.L32	35.2
at4g07470	35.2	35.2	35.2
at2g12830	35.2	35.2	35.2
at3g12502	GMM:32	"micro RNA, natural antisense etc"	35.2
at2g33730	GMM:27.1.2	RNA.processing.RNA helicase	35.2
at3g01780	35.2	35.2	TPLATE
at4g06574	GMM:28.1.1.1	DNA.synthesis/chromatin structure.retrotransposon/transposase.gypsy-like retrotransposon	35.2
at4g07521	35.2	35.2	35.2
at4g34910	GMM:29.2.2.3.5	protein.synthesis.ribosome biogenesis.pre-rRNA processing and modifications.DExD-box helicases	35.2
at3g03380	GMM:29.5.5	protein.degradation.serine protease	DegP7
at5g32825	GMM:28.1.1.5	DNA.synthesis/chromatin structure.retrotransposon/transposase.CACTA-like transposase	35.2
at1g02310	GMM:26.3	"misc.gluco-, galacto- and mannosidases"	MAN1
at1g75980	35.2	35.2	35.2
at5g34686	35.2	35.2	35.2
at1g75090	GMM:28.2	DNA.repair	35.2
at1g13245	GMM:33.99	development.unspecified	DVL4
at3g24360	GMM:13.2.6.3;GMM:11.9.4.3	amino acid metabolism.degradation.aromatic aa.tryptophan;lipid metabolism.lipid degradation.beta-oxidation.enoyl CoA hydratase	35.2
